ra_bin_deg,dec_bin_deg,n_stars
21.0,9.0,48627
21.0,10.0,40502
21.0,11.0,33653
21.0,12.0,27381
21.0,13.0,22174
21.0,14.0,16859
21.0,15.0,12256
21.0,16.0,7502
21.0,17.0,2287
22.0,-18.0,4167
22.0,-17.0,12086
22.0,-16.0,19380
22.0,-15.0,31164
22.0,-14.0,43302
22.0,-13.0,56826
22.0,-12.0,76487
22.0,-11.0,102436
22.0,-10.0,136852
22.0,-9.0,172143
22.0,-8.0,231825
22.0,-7.0,389514
22.0,-6.0,442054
22.0,-5.0,405127
22.0,-4.0,379211
22.0,-3.0,435330
22.0,-2.0,374433
22.0,-1.0,301233
22.0,0.0,219305
22.0,1.0,182208
22.0,2.0,141711
22.0,3.0,115139
22.0,4.0,96088
22.0,5.0,78770
22.0,6.0,66221
22.0,7.0,55570
22.0,8.0,45916
22.0,9.0,37876
22.0,10.0,32790
22.0,11.0,28204
22.0,12.0,23532
22.0,13.0,19484
22.0,14.0,15690
22.0,15.0,11609
22.0,16.0,7217
22.0,17.0,2197
23.0,-18.0,4271
23.0,-17.0,11286
23.0,-16.0,21366
23.0,-15.0,33016
23.0,-14.0,51279
23.0,-13.0,71301
23.0,-12.0,94704
23.0,-11.0,127402
23.0,-10.0,206917
23.0,-9.0,273038
23.0,-8.0,274958
23.0,-7.0,333446
23.0,-6.0,519643
23.0,-5.0,501747
23.0,-4.0,422409
23.0,-3.0,322401
23.0,-2.0,243249
23.0,-1.0,193217
23.0,0.0,151440
23.0,1.0,123437
23.0,2.0,99884
23.0,3.0,81701
23.0,4.0,67132
23.0,5.0,57435
23.0,6.0,49205
23.0,7.0,42700
23.0,8.0,36858
23.0,9.0,31352
23.0,10.0,27454
23.0,11.0,23929
23.0,12.0,20438
23.0,13.0,17281
23.0,14.0,14314
23.0,15.0,10903
23.0,16.0,6838
23.0,17.0,2232
24.0,-18.0,4419
24.0,-17.0,11913
24.0,-16.0,26437
24.0,-15.0,39419
24.0,-14.0,60323
24.0,-13.0,88460
24.0,-12.0,116679
24.0,-11.0,145510
24.0,-10.0,269090
24.0,-9.0,294416
24.0,-8.0,319489
24.0,-7.0,532342
24.0,-6.0,513972
24.0,-5.0,400205
24.0,-4.0,293941
24.0,-3.0,218700
24.0,-2.0,158365
24.0,-1.0,128704
24.0,0.0,103209
24.0,1.0,84407
24.0,2.0,69873
24.0,3.0,59060
24.0,4.0,50093
24.0,5.0,43989
24.0,6.0,37633
24.0,7.0,33418
24.0,8.0,29399
24.0,9.0,25870
24.0,10.0,23234
24.0,11.0,20308
24.0,12.0,17588
24.0,13.0,15576
24.0,14.0,12935
24.0,15.0,9993
24.0,16.0,6456
24.0,17.0,2187
25.0,-18.0,4160
25.0,-17.0,14453
25.0,-16.0,28662
25.0,-15.0,46416
25.0,-14.0,74514
25.0,-13.0,110353
25.0,-12.0,175203
25.0,-11.0,202471
25.0,-10.0,322948
25.0,-9.0,205140
25.0,-8.0,354311
25.0,-7.0,470760
25.0,-6.0,365755
25.0,-5.0,263906
25.0,-4.0,191178
25.0,-3.0,141995
25.0,-2.0,109773
25.0,-1.0,87219
25.0,0.0,71694
25.0,1.0,59681
25.0,2.0,50862
25.0,3.0,44366
25.0,4.0,38943
25.0,5.0,34173
25.0,6.0,30459
25.0,7.0,27374
25.0,8.0,24923
25.0,9.0,22289
25.0,10.0,20294
25.0,11.0,17492
25.0,12.0,15671
25.0,13.0,13955
25.0,14.0,12229
25.0,15.0,9578
25.0,16.0,6429
25.0,17.0,2237
26.0,-18.0,4337
26.0,-17.0,15471
26.0,-16.0,30564
26.0,-15.0,54483
26.0,-14.0,92610
26.0,-13.0,146438
26.0,-12.0,265508
26.0,-11.0,306616
26.0,-10.0,309243
26.0,-9.0,149719
26.0,-8.0,305198
26.0,-7.0,287214
26.0,-6.0,231184
26.0,-5.0,156330
26.0,-4.0,118080
26.0,-3.0,96364
26.0,-2.0,77597
26.0,-1.0,64304
26.0,0.0,52955
26.0,1.0,44740
26.0,2.0,40569
26.0,3.0,35341
26.0,4.0,31543
26.0,5.0,28214
26.0,6.0,25548
26.0,7.0,23073
26.0,8.0,21508
26.0,9.0,19402
26.0,10.0,17883
26.0,11.0,15738
26.0,12.0,13773
26.0,13.0,12567
26.0,14.0,11055
26.0,15.0,9163
26.0,16.0,6259
26.0,17.0,2190
27.0,-18.0,4428
27.0,-17.0,16586
27.0,-16.0,31690
27.0,-15.0,62247
27.0,-14.0,111414
27.0,-13.0,205597
27.0,-12.0,372607
27.0,-11.0,390312
27.0,-10.0,130576
27.0,-9.0,250545
27.0,-8.0,273772
27.0,-7.0,195536
27.0,-6.0,146465
27.0,-5.0,104677
27.0,-4.0,85718
27.0,-3.0,70714
27.0,-2.0,57701
27.0,-1.0,49182
27.0,0.0,41702
27.0,1.0,36033
27.0,2.0,32252
27.0,3.0,29117
27.0,4.0,26043
27.0,5.0,23763
27.0,6.0,22073
27.0,7.0,20276
27.0,8.0,18784
27.0,9.0,17220
27.0,10.0,16053
27.0,11.0,14637
27.0,12.0,12929
27.0,13.0,11478
27.0,14.0,10353
27.0,15.0,8381
27.0,16.0,6011
27.0,17.0,2149
28.0,-18.0,4528
28.0,-17.0,17429
28.0,-16.0,32643
28.0,-15.0,68433
28.0,-14.0,126886
28.0,-13.0,257674
28.0,-12.0,397495
28.0,-11.0,420339
28.0,-10.0,225717
28.0,-9.0,237160
28.0,-8.0,209042
28.0,-7.0,149027
28.0,-6.0,110632
28.0,-5.0,85866
28.0,-4.0,67270
28.0,-3.0,55421
28.0,-2.0,46695
28.0,-1.0,39251
28.0,0.0,34427
28.0,1.0,30487
28.0,2.0,27655
28.0,3.0,24633
28.0,4.0,22648
28.0,5.0,20831
28.0,6.0,19700
28.0,7.0,18185
28.0,8.0,16916
28.0,9.0,15634
28.0,10.0,14616
28.0,11.0,13418
28.0,12.0,12347
28.0,13.0,10625
28.0,14.0,9342
28.0,15.0,8321
28.0,16.0,5783
28.0,17.0,1985
29.0,-18.0,4751
29.0,-17.0,17813
29.0,-16.0,32612
29.0,-15.0,75405
29.0,-14.0,159045
29.0,-13.0,360814
29.0,-12.0,412030
29.0,-11.0,459484
29.0,-10.0,379756
29.0,-9.0,224649
29.0,-8.0,160630
29.0,-7.0,115636
29.0,-6.0,85550
29.0,-5.0,68972
29.0,-4.0,55463
29.0,-3.0,45124
29.0,-2.0,38375
29.0,-1.0,33147
29.0,0.0,29110
29.0,1.0,26281
29.0,2.0,23846
29.0,3.0,22264
29.0,4.0,20363
29.0,5.0,18769
29.0,6.0,17689
29.0,7.0,16398
29.0,8.0,15477
29.0,9.0,14373
29.0,10.0,13510
29.0,11.0,12587
29.0,12.0,11529
29.0,13.0,10132
29.0,14.0,9220
29.0,15.0,7946
29.0,16.0,5650
29.0,17.0,1941
30.0,-18.0,4633
30.0,-17.0,18495
30.0,-16.0,33069
30.0,-15.0,89106
30.0,-14.0,198365
30.0,-13.0,520325
30.0,-12.0,328557
30.0,-11.0,473398
30.0,-10.0,330717
30.0,-9.0,198181
30.0,-8.0,134089
30.0,-7.0,94765
30.0,-6.0,72534
30.0,-5.0,57794
30.0,-4.0,46945
30.0,-3.0,38623
30.0,-2.0,33882
30.0,-1.0,30010
30.0,0.0,26220
30.0,1.0,23564
30.0,2.0,21429
30.0,3.0,19796
30.0,4.0,18308
30.0,5.0,16999
30.0,6.0,15927
30.0,7.0,14703
30.0,8.0,14263
30.0,9.0,13302
30.0,10.0,12751
30.0,11.0,11964
30.0,12.0,11211
30.0,13.0,9867
30.0,14.0,8749
30.0,15.0,7626
30.0,16.0,5459
30.0,17.0,1794
31.0,-18.0,4861
31.0,-17.0,19696
31.0,-16.0,36052
31.0,-15.0,103447
31.0,-14.0,229990
31.0,-13.0,593790
31.0,-12.0,468433
31.0,-11.0,440687
31.0,-10.0,240914
31.0,-9.0,163868
31.0,-8.0,112681
31.0,-7.0,81490
31.0,-6.0,62867
31.0,-5.0,50350
31.0,-4.0,40866
31.0,-3.0,34861
31.0,-2.0,30418
31.0,-1.0,26450
31.0,0.0,23781
31.0,1.0,21678
31.0,2.0,19667
31.0,3.0,18367
31.0,4.0,17009
31.0,5.0,16099
31.0,6.0,14665
31.0,7.0,14100
31.0,8.0,13333
31.0,9.0,12656
31.0,10.0,11905
31.0,11.0,11091
31.0,12.0,10652
31.0,13.0,9632
31.0,14.0,8478
31.0,15.0,7575
31.0,16.0,5320
31.0,17.0,1845
32.0,-18.0,5001
32.0,-17.0,20161
32.0,-16.0,37248
32.0,-15.0,110985
32.0,-14.0,258470
32.0,-13.0,720164
32.0,-12.0,556413
32.0,-11.0,329516
32.0,-10.0,201328
32.0,-9.0,131248
32.0,-8.0,97705
32.0,-7.0,72089
32.0,-6.0,56155
32.0,-5.0,45206
32.0,-4.0,38140
32.0,-3.0,32420
32.0,-2.0,28367
32.0,-1.0,24617
